Course Code,Course Title,Session,Cr Hrs,Day and Time,Instructor
ACCT 100 LEC 1,Principles of Financial Accounting,16W,3.0,TR 11:00AM-12:15PM,Syed Zain  ul Abidin
ACCT 100 LEC 2,Principles of Financial Accounting,16W,3.0,TR 12:30PM-1:45PM,Syed Zain  ul Abidin
ACCT 100 LEC 3,Principles of Financial Accounting,16W,3.0,TR 2:00PM-3:15PM,Syed Zain  ul Abidin
ACCT 100 LEC 4,Principles of Financial Accounting,16W,3.0,TR 3:30PM-4:45PM,Zainab Mehmood
ACCT 100 LEC 5,Principles of Financial Accounting,16W,3.0,TR 5:00PM-6:15PM,Zainab Mehmood
ACCT 100 LEC 6,Principles of Financial Accounting,16W,3.0,MW 9:30AM-10:45AM,Saira Rizwan
ACCT 100 LEC 7,Principles of Financial Accounting,16W,3.0,MW 11:00AM-12:15PM,Saira Rizwan
ACCT 130 LEC 1,Principles of Management Accounting,16W,3.0,TR 9:30AM-10:45AM,Ayesha Bhatti
ACCT 130 LEC 2,Principles of Management Accounting,16W,3.0,TR 11:00AM-12:15PM,Ayesha Bhatti
ACCT 130 LEC 3,Principles of Management Accounting,16W,3.0,TR 2:00PM-3:15PM,Ayesha Bhatti
ACCT 130 LEC 4,Principles of Management Accounting,16W,3.0,TR 12:30PM-1:45PM,Ayesha Bhatti
ACCT 130 LEC 5,Principles of Management Accounting,16W,3.0,TR 9:30AM-10:45AM,Mahin Moazzam
ACCT 130 LEC 6,Principles of Management Accounting,16W,3.0,TR 11:00AM-12:15PM,Mahin Moazzam
ACCT 130 LEC 7,Principles of Management Accounting,16W,3.0,TR 2:00PM-3:15PM,Mahin Moazzam
ACCT 202 LEC 1,"Theory and Concepts of Accounting - Islamic
Perspective",16W,3.0,MW 9:30AM-10:45AM,Abdul Rauf
ACCT 202 LEC 2,"Theory and Concepts of Accounting - Islamic
Perspective",16W,3.0,MW 11:00AM-12:15PM,Abdul Rauf
ACCT 220 LEC 1,Corporate Financial Reporting I,16W,3.0,MW 11:00AM-12:15PM,Samia Ahmed Ali
ACCT 220 LEC 2,Corporate Financial Reporting I,16W,3.0,MW 12:30PM-1:45PM,Samia Ahmed Ali
ACCT 220 LEC 3,Corporate Financial Reporting I,16W,3.0,MW 2:00PM-3:15PM,Samia Ahmed Ali
ACCT 411 LEC 1,Applied Financial Analysis,16W,3.0,MW 2:00PM-3:15PM,Saira Rizwan
ACCT 482 LEC 1,"Governance, Risk and Compliance",16W,3.0,MW 8:00AM-9:15AM,Ali Qamar
ACF 2101 LEC 1,Introduction to Finance and Accounting,SDSB-Foundation,1.5,MRFSSu 2:00PM-4:10PM,Syed Zain  ul Abidin
ACF 2101 LEC 2,Introduction to Finance and Accounting,SDSB-Foundation,1.5,MRFSSu 11:00AM-1:10PM,
ACF 5101 LEC 1,Financial Management and Accounting,MS1,3.0,FSSu 2:00PM-4:00PM,"Samia Ahmed Ali
Syed Mubashir Ali"
ACTA 6202 LEC 1,Analytics in Accounting and Control,MS1,3.0,FSSu 10:45AM-12:45PM,Ali Qamar
AI 500 LEC 1,Foundations of AI,16W,3.0,S 12:30PM-3:30PM,Murtaza Taj
AI 501 LEC 1,Mathematics for AI,16W,3.0,S 9:30AM-12:30PM,Zubair Khalid
ANTH 100 LEC 1,Introduction to Cultural Anthropology,16W,4.0,MW 4:00PM-5:50PM,Syeedda Anjum Ara Alvi
ANTH 100 LEC 2,Introduction to Cultural Anthropology,16W,4.0,MW 2:00PM-3:50PM,Sadaf Ahmad
