Course Code,Course Title,Day and Time,Instructor,Session,Cr Hrs
ACCT 100 LEC 1,Principles of Financial Accounting,TR 12:30PM-1:45PM,Syed Zain  ul Abidin,16W,3
ACCT 100 LEC 2,Principles of Financial Accounting,TR 9:30AM-10:45AM,Ahsan ShamimChaudhri,16W,3
ACCT 100 LEC 3,Principles of Financial Accounting,MW 9:30AM-10:45AM,Omair Haroon,16W,3
ACCT 100 LEC 4,Principles of Financial Accounting,MW 11:00AM-12:15PM,Omair Haroon,16W,3
ACCT 100 LEC 5,Principles of Financial Accounting,TR 12:30PM-1:45PM,Zainab Mehmood,16W,3
ACCT 100 LEC 6,Principles of Financial Accounting,TR 2:00PM-3:15PM,Zainab Mehmood,16W,3
ACCT 100 LEC 7,Principles of Financial Accounting,MW 9:30AM-10:45AM,Saira Rizwan,16W,3
ACCT 100 LEC 8,Principles of Financial Accounting,MW 11:00AM-12:15PM,Saira Rizwan,16W,3
ACCT 130 LEC 1,Principles of Management Accounting,TR 9:30AM-10:45AM,Ayesha Bhatti,16W,3
ACCT 130 LEC 2,Principles of Management Accounting,TR 11:00AM-12:15PM,Ayesha Bhatti,16W,3
ACCT 130 LEC 3,Principles of Management Accounting,TR 12:30PM-1:45PM,Ayesha Bhatti,16W,3
ACCT 130 LEC 4,Principles of Management Accounting,TR 2:00PM-3:15PM,Ayesha Bhatti,16W,3
ACCT 130 LEC 5,Principles of Management Accounting,TR 9:30AM-10:45AM,Mahin Moazzam,16W,3
ACCT 130 LEC 6,Principles of Management Accounting,TR 11:00AM-12:15PM,Mahin Moazzam,16W,3
ACCT 130 LEC 7,Principles of Management Accounting,TR 12:30PM-1:45PM,Mahin Moazzam,16W,3
ACCT 202 LEC 1,Theory and Concepts of Accounting -Islamic Perspective,MW 9:30AM-10:45AM,Abdul Rauf,16W,3
ACCT 220 LEC 1,Corporate Financial Reporting I,MW 9:30AM-10:45AM,Samia Ahmed Ali,16W,3
ACCT 220 LEC 2,Corporate Financial Reporting I,MW 12:30PM-1:45PM,Samia Ahmed Ali,16W,3
ACCT 220 LEC 3,Corporate Financial Reporting I,MW 2:00PM-3:15PM,Samia Ahmed Ali,16W,3
ACCT 220 LEC 4,Corporate Financial Reporting I,MW 8:00AM-9:15AM,Samia Ahmed Ali,16W,3
