Course Code,Course Title,Day and Time,Instructor,Session,Cr Hrs
ACCT 100 LEC 1,Principles of Financial Accounting,MW 9:30AM-10:45AM,Saira Rizwan,16W,3.0
ACCT 100 LEC 2,Principles of Financial Accounting,MW 11:00AM-12:15PM,Saira Rizwan,16W,3.0
ACCT 130 LEC 1,Principles of Management Accounting,TR 9:30AM-10:45AM,Mahin Moazzam,16W,3.0
ACCT 220 LEC 1,Corporate Financial Reporting I,TR 12:30PM-1:45PM,Mahin Moazzam,16W,3.0
ACCT 250 LEC 1,Auditing,TR 11:00AM-12:15PM,Syed Zain ul Abidin,16W,3.0
ACCT 250 LEC 2,Auditing,MW 9:30AM-10:45AM,Abdul Rauf,16W,3.0
ACCT 250 LEC 3,Auditing,MW 11:00AM-12:15PM,Abdul Rauf,16W,3.0
ACCT 302 LEC 1,"Accounting for Islamic Financial
Institutions",MW 2:00PM-3:15PM,Abdul Rauf,16W,3.0
ACCT 320 LEC 1,Corporate Financial Reporting II,TR 11:00AM-12:15PM,Samia Ahmed Ali,16W,3.0
ACCT 320 LEC 2,Corporate Financial Reporting II,TR 12:30PM-1:45PM,Samia Ahmed Ali,16W,3.0
ACCT 320 LEC 3,Corporate Financial Reporting II,TR 2:00PM-3:15PM,Samia Ahmed Ali,16W,3.0
ACCT 362 LEC 1,"Fraud Examination and Forensic
Accounting",MW 3:30PM-4:45PM,Abdul Rauf,16W,3.0
ACCT 370 LEC 1,Applied Taxation,MW 11:00AM-12:15PM,Huzaima Bukhari,16W,3.0
ACCT 370 LEC 2,Applied Taxation,MW 12:30PM-1:45PM,Huzaima Bukhari,16W,3.0
ACCT 411 LEC 1,Applied Financial Analysis,MW 2:00PM-3:15PM,Saira Rizwan,16W,3.0
ACF 5101 LEC 1,Financial Management and Accounting,FSU 4:15PM-6:15PM,Syed Mubashir Ali,16W,3.0
ACTA 6101 LEC 1,Applied Financial Statement Analysis,FSU 10:45AM-12:45PM,Omair Haroon,16W,3.0
ACTA 6201 LEC 1,Business Analytics - Foundations,FSU 4:15PM-6:15PM,Maheen Aamir Syed,16W,3.0
ACTA 6301 LEC 1,"Information Systems - Design and
Security",FSU 8:30AM-10:30AM,Saqib Ali,16W,3.0
ACTA 6302 LEC 1,"Business Intelligence and Big Data
Statistics",FSU 2:00PM-4:00PM,Ussama Yaqub,16W,3.0
AI 600 LEC 1,Machine Learning,S 12:30PM-3:30PM,Momin Ayub Uppal,16W,3.0
AI 601 LEC 1,AI Augmented Software Development,S 9:00AM-12:00PM,TBA,16W,3.0
AI 602 LEC 1,Large Language Model Systems,S 3:30PM-6:30PM,TBA,16W,3.0
ANTH 100 LEC 1,Introduction to Cultural Anthropology,TR 12:00PM-1:50PM,Rabia Kamal,16W,4.0
ANTH 100 LEC 2,Introduction to Cultural Anthropology,MW 8:00AM-9:50AM,Dominic William Esler,16W,4.0
ANTH 237 LEC 1,"Economic Anthropology: Making
Sense of Value and Wealth",TR 4:00PM-5:50PM,"Syeedda Anjum Ara
Alvi",16W,4.0
